SV;DATETIME;X;Y;Z
G15;2022-4-1 00:00:00;-7693184.51499;-14655423.081;-21139134.308
G15;2022-4-1 00:00:30;-7636648.46861;-14709506.5635;-21120768.2199
G15;2022-4-1 00:01:00;-7580244.15289;-14763634.869;-21102010.5822
G15;2022-4-1 00:01:30;-7523972.51998;-14817806.6433;-21082861.6973
G15;2022-4-1 00:02:00;-7467834.51451;-14872020.5273;-21063321.8747
G15;2022-4-1 00:02:30;-7411831.07353;-14926275.1566;-21043391.4314
G15;2022-4-1 00:03:00;-7355963.12648;-14980569.1619;-21023070.691
G15;2022-4-1 00:03:30;-7300231.59512;-15034901.1688;-21002359.9848
G15;2022-4-1 00:04:00;-7244637.39351;-15089269.7979;-20981259.6509
G15;2022-4-1 00:04:30;-7189181.42796;-15143673.665;-20959770.0345
G15;2022-4-1 00:05:00;-7133864.597;-15198111.381;-20937891.488
G15;2022-4-1 00:05:30;-7078687.79133;-15252581.5519;-20915624.3709
G15;2022-4-1 00:06:00;-7023651.89379;-15307082.7792;-20892969.0497
G15;2022-4-1 00:06:30;-6968757.77933;-15361613.6595;-20869925.898
G15;2022-4-1 00:07:00;-6914006.31496;-15416172.7848;-20846495.2965
G15;2022-4-1 00:07:30;-6859398.35973;-15470758.7425;-20822677.633
G15;2022-4-1 00:08:00;-6804934.7647;-15525370.1156;-20798473.3022
G15;2022-4-1 00:08:30;-6750616.37289;-15580005.4824;-20773882.7061
G15;2022-4-1 00:09:00;-6696444.01927;-15634663.4171;-20748906.2536
G15;2022-4-1 00:09:30;-6642418.53072;-15689342.4892;-20723544.3605
G15;2022-4-1 00:10:00;-6588540.726;-15744041.264;-20697797.45
G15;2022-4-1 00:10:30;-6534811.41573;-15798758.3026;-20671665.952
G15;2022-4-1 00:11:00;-6481231.40233;-15853492.1619;-20645150.3037
G15;2022-4-1 00:11:30;-6427801.48005;-15908241.3944;-20618250.9491
G15;2022-4-1 00:12:00;-6374522.43488;-15963004.5489;-20590968.3394
G15;2022-4-1 00:12:30;-6321395.04456;-16017780.1698;-20563302.9328
G15;2022-4-1 00:13:00;-6268420.07854;-16072566.7978;-20535255.1945
G15;2022-4-1 00:13:30;-6215598.29796;-16127362.9693;-20506825.5966
G15;2022-4-1 00:14:00;-6162930.45562;-16182167.2172;-20478014.6184
G15;2022-4-1 00:14:30;-6110417.29596;-16236978.0704;-20448822.7461
G15;2022-4-1 00:15:00;-6058059.555;-16291794.054;-20419250.473
G15;2022-4-1 00:15:30;-6005857.96038;-16346613.6894;-20389298.2993
G15;2022-4-1 00:16:00;-5953813.23127;-16401435.4945;-20358966.7323
G15;2022-4-1 00:16:30;-5901926.07838;-16456257.9833;-20328256.2861
G15;2022-4-1 00:17:00;-5850197.20395;-16511079.6666;-20297167.4821
G15;2022-4-1 00:17:30;-5798627.30166;-16565899.0514;-20265700.8484
G15;2022-4-1 00:18:00;-5747217.05669;-16620714.6415;-20233856.9202
G15;2022-4-1 00:18:30;-5695967.14563;-16675524.9372;-20201636.2396
G15;2022-4-1 00:19:00;-5644878.2365;-16730328.4356;-20169039.3559
G15;2022-4-1 00:19:30;-5593950.9887;-16785123.6303;-20136066.825
G15;2022-4-1 00:20:00;-5543186.053;-16839909.012;-20102719.21
G15;2022-4-1 00:20:30;-5492584.07151;-16894683.0681;-20068997.0809
G15;2022-4-1 00:21:00;-5442145.67767;-16949444.2829;-20034901.0147
G15;2022-4-1 00:21:30;-5391871.49621;-17004191.1377;-20000431.5951
G15;2022-4-1 00:22:00;-5341762.14315;-17058922.1108;-19965589.4131
G15;2022-4-1 00:22:30;-5291818.22569;-17113635.6778;-19930375.0662
G15;2022-4-1 00:23:00;-5242040.3425;-17168330.3111;-19894789.1593
G15;2022-4-1 00:23:30;-5192429.08322;-17223004.4806;-19858832.3038
G15;2022-4-1 00:24:00;-5142985.02879;-17277656.6532;-19822505.1182
G15;2022-4-1 00:24:30;-5093708.75129;-17332285.2934;-19785808.2279
G15;2022-4-1 00:25:00;-5044600.814;-17386888.863;-19748742.265
G15;2022-4-1 00:25:30;-4995661.77131;-17441465.8211;-19711307.8688
G15;2022-4-1 00:26:00;-4946892.16874;-17496014.6244;-19673505.6852
G15;2022-4-1 00:26:30;-4898292.54291;-17550533.7273;-19635336.367
G15;2022-4-1 00:27:00;-4849863.42154;-17605021.5815;-19596800.5742
G15;2022-4-1 00:27:30;-4801605.32346;-17659476.6367;-19557898.9732
G15;2022-4-1 00:28:00;-4753518.75837;-17713897.3402;-19518632.2374
G15;2022-4-1 00:28:30;-4705604.22719;-17768282.1372;-19479001.0472
G15;2022-4-1 00:29:00;-4657862.22182;-17822629.4705;-19439006.0896
G15;2022-4-1 00:29:30;-4610293.22513;-17876937.7812;-19398648.0586
G15;2022-4-1 00:30:00;-4562897.711;-17931205.508;-19357927.655
G15;2022-4-1 00:30:30;-4515676.14428;-17985431.088;-19316845.5863
G15;2022-4-1 00:31:00;-4468628.98078;-18039612.9561;-19275402.5669
G15;2022-4-1 00:31:30;-4421756.66724;-18093749.5457;-19233599.318
G15;2022-4-1 00:32:00;-4375059.64134;-18147839.288;-19191436.5675
G15;2022-4-1 00:32:30;-4328538.33159;-18201880.6129;-19148915.0502
G15;2022-4-1 00:33:00;-4282193.15765;-18255871.9484;-19106035.5075
G15;2022-4-1 00:33:30;-4236024.52984;-18309811.7211;-19062798.6876
G15;2022-4-1 00:34:00;-4190032.8494;-18363698.3558;-19019205.3456
G15;2022-4-1 00:34:30;-4144218.50846;-18417530.2761;-18975256.2433
G15;2022-4-1 00:35:00;-4098581.89;-18471305.904;-18930952.149
G15;2022-4-1 00:35:30;-4053123.36783;-18525023.6604;-18886293.838
G15;2022-4-1 00:36:00;-4007843.30659;-18578681.9646;-18841282.0922
G15;2022-4-1 00:36:30;-3962742.06176;-18632279.235;-18795917.7001
G15;2022-4-1 00:37:00;-3917819.97961;-18685813.8887;-18750201.4571
G15;2022-4-1 00:37:30;-3873077.39733;-18739284.3416;-18704134.1651
G15;2022-4-1 00:38:00;-3828514.64254;-18792689.0088;-18657716.6329
G15;2022-4-1 00:38:30;-3784132.034;-18846026.3042;-18610949.6757
G15;2022-4-1 00:39:00;-3739929.88115;-18899294.641;-18563834.1154
G15;2022-4-1 00:39:30;-3695908.48417;-18952492.4314;-18516370.7808
G15;2022-4-1 00:40:00;-3652068.134;-19005618.087;-18468560.507
G15;2022-4-1 00:40:30;-3608409.11233;-19058670.0185;-18420404.1359
G15;2022-4-1 00:41:00;-3564931.6916;-19111646.6359;-18371902.516
G15;2022-4-1 00:41:30;-3521636.13498;-19164546.349;-18323056.5023
G15;2022-4-1 00:42:00;-3478522.69636;-19217367.5665;-18273866.9565
G15;2022-4-1 00:42:30;-3435591.62022;-19270108.6971;-18224334.747
G15;2022-4-1 00:43:00;-3392843.14218;-19322768.149;-18174460.7484
G15;2022-4-1 00:43:30;-3350277.48814;-19375344.3299;-18124245.8421
G15;2022-4-1 00:44:00;-3307894.87486;-19427835.6474;-18073690.916
G15;2022-4-1 00:44:30;-3265695.50976;-19480240.5087;-18022796.8647
G15;2022-4-1 00:45:00;-3223679.591;-19532557.321;-17971564.589
G15;2022-4-1 00:45:30;-3181847.3074;-19584784.4914;-17919994.9965
G15;2022-4-1 00:46:00;-3140198.83849;-19636920.4269;-17868089.0011
G15;2022-4-1 00:46:30;-3098734.35447;-19688963.5347;-17815847.5234
G15;2022-4-1 00:47:00;-3057454.01624;-19740912.2219;-17763271.4901
G15;2022-4-1 00:47:30;-3016357.97549;-19792764.896;-17710361.8348
G15;2022-4-1 00:48:00;-2975446.37421;-19844519.9644;-17657119.4974
G15;2022-4-1 00:48:30;-2934719.34547;-19896175.8351;-17603545.4241
G15;2022-4-1 00:49:00;-2894177.01288;-19947730.9164;-17549640.5676
G15;2022-4-1 00:49:30;-2853819.49074;-19999183.617;-17495405.8871
G15;2022-4-1 00:50:00;-2813646.884;-20050532.346;-17440842.348
G15;2022-4-1 00:50:30;-2773659.28833;-20101775.5132;-17385950.9223
G15;2022-4-1 00:51:00;-2733856.79004;-20152911.529;-17330732.5883
G15;2022-4-1 00:51:30;-2694239.46616;-20203938.8043;-17275188.3307
G15;2022-4-1 00:52:00;-2654807.38435;-20254855.7509;-17219319.1403
G15;2022-4-1 00:52:30;-2615560.60291;-20305660.7815;-17163126.0146
G15;2022-4-1 00:53:00;-2576499.17108;-20356352.3095;-17106609.9571
G15;2022-4-1 00:53:30;-2537623.1285;-20406928.7493;-17049771.9778
G15;2022-4-1 00:54:00;-2498932.50559;-20457388.5164;-16992613.093
G15;2022-4-1 00:54:30;-2460427.32349;-20507730.0271;-16935134.3251
G15;2022-4-1 00:55:00;-2422107.594;-20557951.699;-16877336.703
G15;2022-4-1 00:55:30;-2383973.31964;-20608051.951;-16819221.2617
G15;2022-4-1 00:56:00;-2346024.49362;-20658029.203;-16760789.0424
G15;2022-4-1 00:56:30;-2308261.09988;-20707881.8765;-16702041.0927
G15;2022-4-1 00:57:00;-2270683.11306;-20757608.3942;-16642978.4662
G15;2022-4-1 00:57:30;-2233290.49855;-20807207.1804;-16583602.2228
G15;2022-4-1 00:58:00;-2196083.21238;-20856676.6605;-16523913.4287
G15;2022-4-1 00:58:30;-2159061.2014;-20906015.2621;-16463913.156
G15;2022-4-1 00:59:00;-2122224.40317;-20955221.414;-16403602.4831
G15;2022-4-1 00:59:30;-2085572.74602;-21004293.5468;-16342982.4946
G15;2022-4-1 01:00:00;-2049106.149;-21053230.093;-16282054.281
G15;2022-4-1 01:00:30;-2012824.52195;-21102029.4868;-16220818.939
G15;2022-4-1 01:01:00;-1976727.76548;-21150690.1644;-16159277.5715
G15;2022-4-1 01:01:30;-1940815.77096;-21199210.5638;-16097431.2873
G15;2022-4-1 01:02:00;-1905088.42058;-21247589.1253;-16035281.2014
G15;2022-4-1 01:02:30;-1869545.58734;-21295824.291;-15972828.4347
G15;2022-4-1 01:03:00;-1834187.13496;-21343914.5053;-15910074.1142
G15;2022-4-1 01:03:30;-1799012.91807;-21391858.2147;-15847019.3727
G15;2022-4-1 01:04:00;-1764022.78212;-21439653.8683;-15783665.3494
G15;2022-4-1 01:04:30;-1729216.56339;-21487299.9172;-15720013.1892
G15;2022-4-1 01:05:00;-1694594.089;-21534794.815;-15656064.043
G15;2022-4-1 01:05:30;-1660155.17696;-21582137.0179;-15591819.0676
G15;2022-4-1 01:06:00;-1625899.63614;-21629324.9844;-15527279.4258
G15;2022-4-1 01:06:30;-1591827.26631;-21676357.176;-15462446.2862
G15;2022-4-1 01:07:00;-1557937.85814;-21723232.0563;-15397320.8234
G15;2022-4-1 01:07:30;-1524231.19316;-21769948.0921;-15331904.2178
G15;2022-4-1 01:08:00;-1490707.04402;-21816503.7529;-15266197.6558
G15;2022-4-1 01:08:30;-1457365.17412;-21862897.5109;-15200202.3293
G15;2022-4-1 01:09:00;-1424205.33788;-21909127.8413;-15133919.4365
G15;2022-4-1 01:09:30;-1391227.28071;-21955193.2222;-15067350.1808
G15;2022-4-1 01:10:00;-1358430.739;-22001092.135;-15000495.772
G15;2022-4-1 01:10:30;-1325815.44014;-22046823.0639;-14933357.4252
G15;2022-4-1 01:11:00;-1293381.10256;-22092384.4964;-14865936.3615
G15;2022-4-1 01:11:30;-1261127.43572;-22137774.9232;-14798233.8075
G15;2022-4-1 01:12:00;-1229054.14014;-22182992.8384;-14730250.9958
G15;2022-4-1 01:12:30;-1197160.90747;-22228036.7395;-14661989.1645
G15;2022-4-1 01:13:00;-1165447.42028;-22272905.127;-14593449.5573
G15;2022-4-1 01:13:30;-1133913.35242;-22317596.5054;-14524633.4238
G15;2022-4-1 01:14:00;-1102558.36884;-22362109.3824;-14455542.019
G15;2022-4-1 01:14:30;-1071382.12562;-22406442.2696;-14386176.6036
G15;2022-4-1 01:15:00;-1040384.27;-22450593.682;-14316538.444
G15;2022-4-1 01:15:30;-1009564.44043;-22494562.1385;-14246628.812
G15;2022-4-1 01:16:00;-978922.266567;-22538346.1618;-14176448.985
G15;2022-4-1 01:16:30;-948457.369285;-22581944.2784;-14106000.2459
G15;2022-4-1 01:17:00;-918169.360721;-22625355.0186;-14035283.8834
G15;2022-4-1 01:17:30;-888057.844237;-22668576.9168;-13964301.1913
G15;2022-4-1 01:18:00;-858122.414624;-22711608.5117;-13893053.4692
G15;2022-4-1 01:18:30;-828362.657857;-22754448.3458;-13821542.0218
G15;2022-4-1 01:19:00;-798778.151288;-22797094.9656;-13749768.1595
G15;2022-4-1 01:19:30;-769368.463635;-22839546.9223;-13677733.1982
G15;2022-4-1 01:20:00;-740133.155;-22881802.771;-13605438.459
G15;2022-4-1 01:20:30;-711071.776892;-22923861.0713;-13532885.2684
G15;2022-4-1 01:21:00;-682183.872256;-22965720.3872;-13460074.9582
G15;2022-4-1 01:21:30;-653468.975491;-23007379.2872;-13387008.8657
G15;2022-4-1 01:22:00;-624926.612482;-23048836.3442;-13313688.3335
G15;2022-4-1 01:22:30;-596556.300662;-23090090.136;-13240114.7093
G15;2022-4-1 01:23:00;-568357.548866;-23131139.2446;-13166289.3462
G15;2022-4-1 01:23:30;-540329.857622;-23171982.257;-13092213.6026
G15;2022-4-1 01:24:00;-512472.719;-23212617.765;-13017888.842
G15;2022-4-1 01:24:30;-484785.616685;-23253044.3652;-12943316.4331
G15;2022-4-1 01:25:00;-457268.026;-23293260.659;-12868497.75
G15;2022-4-1 01:25:30;-429919.413937;-23333265.2528;-12793434.1717
G15;2022-4-1 01:26:00;-402739.239184;-23373056.7581;-12718127.0824
G15;2022-4-1 01:26:30;-375726.952151;-23412633.7913;-12642577.8714
G15;2022-4-1 01:27:00;-348881.995001;-23451994.9741;-12566787.9333
G15;2022-4-1 01:27:30;-322203.80161;-23491138.9332;-12490758.6676
G15;2022-4-1 01:28:00;-295691.797879;-23530064.3009;-12414491.4788
G15;2022-4-1 01:28:30;-269345.401333;-23568769.7145;-12337987.7764
G15;2022-4-1 01:29:00;-243164.021438;-23607253.8167;-12261248.9751
G15;2022-4-1 01:29:30;-217147.059561;-23645515.2556;-12184276.4945
G15;2022-4-1 01:30:00;-191293.909;-23683552.685;-12107071.759
G15;2022-4-1 01:30:30;-165603.955018;-23721364.764;-12029636.1981
G15;2022-4-1 01:31:00;-140076.574873;-23758950.1574;-11951971.2462
G15;2022-4-1 01:31:30;-114711.137849;-23796307.5357;-11874078.3426
G15;2022-4-1 01:32:00;-89507.0052915;-23833435.5749;-11795958.9312
G15;2022-4-1 01:32:30;-64463.5307475;-23870332.9572;-11717614.4612
G15;2022-4-1 01:33:00;-39580.0595551;-23906998.3701;-11639046.3862
G15;2022-4-1 01:33:30;-14855.929547;-23943430.5073;-11560256.1648
G15;2022-4-1 01:34:00;9709.52935704;-23979628.0685;-11481245.2603
G15;2022-4-1 01:34:30;34116.9950095;-24015589.7592;-11402015.1408
G15;2022-4-1 01:35:00;58367.153;-24051314.291;-11322567.279
G15;2022-4-1 01:35:30;82460.6966212;-24086800.3818;-11242903.1524
G15;2022-4-1 01:36:00;106398.326833;-24122046.7553;-11163024.2433
G15;2022-4-1 01:36:30;130180.752228;-24157052.1419;-11082932.0382
G15;2022-4-1 01:37:00;153808.688996;-24191815.2779;-11002628.0287
G15;2022-4-1 01:37:30;177282.861016;-24226334.906;-10922113.7107
G15;2022-4-1 01:38:00;200603.99929;-24260609.7755;-10841390.5848
G15;2022-4-1 01:38:30;223772.84271;-24294638.6418;-10760460.1562
G15;2022-4-1 01:39:00;246790.137489;-24328420.2672;-10679323.9343
G15;2022-4-1 01:39:30;269656.637252;-24361953.4202;-10597983.4334
G15;2022-4-1 01:40:00;292373.103;-24395236.876;-10516440.172
G15;2022-4-1 01:40:30;314940.303068;-24428269.4166;-10434695.6731
G15;2022-4-1 01:41:00;337359.01309;-24461049.8306;-10352751.4641
G15;2022-4-1 01:41:30;359630.015955;-24493576.9133;-10270609.0769
G15;2022-4-1 01:42:00;381754.101771;-24525849.467;-10188270.0477
G15;2022-4-1 01:42:30;403732.067706;-24557866.3007;-10105735.9169
G15;2022-4-1 01:43:00;425564.718431;-24589626.2305;-10023008.2293
G15;2022-4-1 01:43:30;447252.865347;-24621128.0792;-9940088.53402
G15;2022-4-1 01:44:00;468797.327026;-24652370.677;-9856978.38447
G15;2022-4-1 01:44:30;490198.929057;-24683352.8608;-9773679.3382
G15;2022-4-1 01:45:00;511458.504;-24714073.475;-9690192.957
G15;2022-4-1 01:45:30;532576.891346;-24744531.3709;-9606520.80684
G15;2022-4-1 01:46:00;553554.937476;-24774725.4072;-9522664.45784
G15;2022-4-1 01:46:30;574393.495618;-24804654.4497;-9438625.48421
G15;2022-4-1 01:47:00;595093.425801;-24834317.3718;-9354405.46427
G15;2022-4-1 01:47:30;615655.594909;-24863713.0543;-9270005.98032
G15;2022-4-1 01:48:00;636080.876267;-24892840.3849;-9185428.619
G15;2022-4-1 01:48:30;656370.150148;-24921698.2595;-9100674.97062
G15;2022-4-1 01:49:00;676524.303371;-24950285.5811;-9015746.6296
G15;2022-4-1 01:49:30;696544.22934;-24978601.2605;-8930645.1943
G15;2022-4-1 01:50:00;716430.828;-25006644.216;-8845372.267
G15;2022-4-1 01:50:30;736185.005795;-25034413.3736;-8759929.45389
G15;2022-4-1 01:51:00;755807.675619;-25061907.6672;-8674318.36501
G15;2022-4-1 01:51:30;775299.756772;-25089126.0382;-8588540.61426
G15;2022-4-1 01:52:00;794662.174912;-25116067.436;-8502597.81933
G15;2022-4-1 01:52:30;813895.861954;-25142730.8179;-8416491.60181
G15;2022-4-1 01:53:00;833001.756261;-25169115.1492;-8330223.58671
G15;2022-4-1 01:53:30;851980.802232;-25195219.4029;-8243795.40309
G15;2022-4-1 01:54:00;870833.950496;-25221042.5603;-8157208.68361
G15;2022-4-1 01:54:30;889562.157808;-25246583.6105;-8070465.06459
G15;2022-4-1 01:55:00;908166.387;-25271841.551;-7983566.186
G15;2022-4-1 01:55:30;926647.606931;-25296815.3872;-7896513.69139
G15;2022-4-1 01:56:00;945006.792441;-25321504.1328;-7809309.22792
G15;2022-4-1 01:56:30;963244.924303;-25345906.8097;-7721954.44627
G15;2022-4-1 01:57:00;981362.989172;-25370022.4483;-7634451.00066
G15;2022-4-1 01:57:30;999361.979582;-25393850.0871;-7546800.54868
G15;2022-4-1 01:58:00;1017242.89371;-25417388.773;-7459004.75169
G15;2022-4-1 01:58:30;1035006.73561;-25440637.5614;-7371065.27417
G15;2022-4-1 01:59:00;1052654.51498;-25463595.5162;-7282983.7841
G15;2022-4-1 01:59:30;1070187.24714;-25486261.7098;-7194761.95282
G15;2022-4-1 02:00:00;1087605.953;-25508635.223;-7106401.455
G15;2022-4-1 02:00:30;1104911.65901;-25530715.1454;-7017903.96863
G15;2022-4-1 02:01:00;1122105.39709;-25552500.5751;-6929271.17495
G15;2022-4-1 02:01:30;1139188.2046;-25573990.6191;-6840504.75847
G15;2022-4-1 02:02:00;1156161.12426;-25595184.3927;-6751606.4069
G15;2022-4-1 02:02:30;1173025.20409;-25616081.0205;-6662577.81119
G15;2022-4-1 02:03:00;1189781.49752;-25636679.6354;-6573420.66523
G15;2022-4-1 02:03:30;1206431.06306;-25656979.3795;-6484136.66626
G15;2022-4-1 02:04:00;1222974.96442;-25676979.4036;-6394727.51453
G15;2022-4-1 02:04:30;1239414.27043;-25696678.8675;-6305194.91333
G15;2022-4-1 02:05:00;1255750.055;-25716076.94;-6215540.569
G15;2022-4-1 02:05:30;1271983.39702;-25735172.7989;-6125766.19086
G15;2022-4-1 02:06:00;1288115.38036;-25753965.6309;-6035873.49118
G15;2022-4-1 02:06:30;1304147.09377;-25772454.632;-5945864.18518
G15;2022-4-1 02:07:00;1320079.63085;-25790639.0071;-5855739.99097
G15;2022-4-1 02:07:30;1335914.09006;-25808517.9703;-5765502.62947
G15;2022-4-1 02:08:00;1351651.57441;-25826090.7452;-5675153.82458
G15;2022-4-1 02:08:30;1367293.19175;-25843356.5644;-5584695.30285
G15;2022-4-1 02:09:00;1382840.05454;-25860314.6695;-5494128.79367
G15;2022-4-1 02:09:30;1398293.27978;-25876964.3119;-5403456.02911
G15;2022-4-1 02:10:00;1413653.989;-25893304.752;-5312678.744
G15;2022-4-1 02:10:30;1428923.30818;-25909335.2597;-5221798.6758
G15;2022-4-1 02:11:00;1444102.3677;-25925055.1143;-5130817.56461
G15;2022-4-1 02:11:30;1459192.30229;-25940463.6044;-5039737.15315
G15;2022-4-1 02:12:00;1474194.25098;-25955560.0285;-4948559.1867
G15;2022-4-1 02:12:30;1489109.35694;-25970343.6942;-4857285.41311
G15;2022-4-1 02:13:00;1503938.76774;-25984813.9187;-4765917.58261
G15;2022-4-1 02:13:30;1518683.63485;-25998970.0289;-4674457.44802
G15;2022-4-1 02:14:00;1533345.11388;-26012811.3613;-4582906.76458
G15;2022-4-1 02:14:30;1547924.36441;-26026337.2621;-4491267.28991
G15;2022-4-1 02:15:00;1562422.55;-26039547.087;-4399540.784
G15;2022-4-1 02:15:30;1576840.83807;-26052440.2016;-4307729.00918
G15;2022-4-1 02:16:00;1591180.39986;-26065015.9812;-4215833.73009
G15;2022-4-1 02:16:30;1605442.41041;-26077273.8109;-4123856.71361
G15;2022-4-1 02:17:00;1619628.04844;-26089213.0854;-4031799.72888
G15;2022-4-1 02:17:30;1633738.49638;-26100833.2093;-3939664.54716
G15;2022-4-1 02:18:00;1647774.94009;-26112133.5976;-3847452.94207
G15;2022-4-1 02:18:30;1661738.56914;-26123113.6744;-3755166.68918
G15;2022-4-1 02:19:00;1675630.57649;-26133772.8742;-3662807.56618
G15;2022-4-1 02:19:30;1689452.15853;-26144110.6413;-3570377.35285
G15;2022-4-1 02:20:00;1703204.515;-26154126.43;-3477877.831
G15;2022-4-1 02:20:30;1716888.84892;-26163819.7046;-3385310.7844
G15;2022-4-1 02:21:00;1730506.36657;-26173189.9394;-3292677.99881
G15;2022-4-1 02:21:30;1744058.27736;-26182236.6189;-3199981.26188
G15;2022-4-1 02:22:00;1757545.79384;-26190959.2375;-3107222.36317
G15;2022-4-1 02:22:30;1770970.13161;-26199357.3001;-3014403.09416
G15;2022-4-1 02:23:00;1784332.50923;-26207430.321;-2921525.24789
G15;2022-4-1 02:23:30;1797634.14822;-26215177.8253;-2828590.61945
G15;2022-4-1 02:24:00;1810876.27294;-26222599.3481;-2735601.00557
G15;2022-4-1 02:24:30;1824060.11056;-26229694.4349;-2642558.20471
G15;2022-4-1 02:25:00;1837186.891;-26236462.641;-2549464.017
G15;2022-4-1 02:25:30;1850257.84684;-26242903.5324;-2456320.2442
G15;2022-4-1 02:26:00;1863274.2133;-26249016.6852;-2363128.68968
G15;2022-4-1 02:26:30;1876237.22814;-26254801.6858;-2269891.15838
G15;2022-4-1 02:27:00;1889148.1316;-26260258.131;-2176609.45676
G15;2022-4-1 02:27:30;1902008.16634;-26265385.6277;-2083285.39268
G15;2022-4-1 02:28:00;1914818.57748;-26270183.7938;-1989920.77576
G15;2022-4-1 02:28:30;1927580.61235;-26274652.2569;-1896517.41674
G15;2022-4-1 02:29:00;1940295.52052;-26278790.6554;-1803077.12784
G15;2022-4-1 02:29:30;1952964.55378;-26282598.6381;-1709601.72263
G15;2022-4-1 02:30:00;1965588.966;-26286075.864;-1616093.016
G15;2022-4-1 02:30:30;1978170.01312;-26289222.0029;-1522552.8241
G15;2022-4-1 02:31:00;1990708.95306;-26292036.7349;-1428982.96434
G15;2022-4-1 02:31:30;2003207.04566;-26294519.7507;-1335385.25532
G15;2022-4-1 02:32:00;2015665.55263;-26296670.7515;-1241761.5168
G15;2022-4-1 02:32:30;2028085.73754;-26298489.4492;-1148113.56975
G15;2022-4-1 02:33:00;2040468.86549;-26299975.5658;-1054443.23602
G15;2022-4-1 02:33:30;2052816.20343;-26301128.8344;-960752.33872
G15;2022-4-1 02:34:00;2065129.01989;-26301948.9984;-867042.701926
G15;2022-4-1 02:34:30;2077408.5849;-26302435.8121;-773316.150687
G15;2022-4-1 02:35:00;2089656.17;-26302589.04;-679574.511
G15;2022-4-1 02:35:30;2101873.04811;-26302408.4577;-585819.60977
G15;2022-4-1 02:36:00;2114060.49352;-26301893.8511;-492053.274772
G15;2022-4-1 02:36:30;2126219.78179;-26301045.017;-398277.334618
G15;2022-4-1 02:37:00;2138352.1897;-26299861.7629;-304493.618711
G15;2022-4-1 02:37:30;2150458.99511;-26298343.9067;-210703.957177
G15;2022-4-1 02:38:00;2162541.47717;-26296491.2774;-116910.180982
G15;2022-4-1 02:38:30;2174600.91586;-26294303.7145;-23114.1216554
G15;2022-4-1 02:39:00;2186638.59217;-26291781.0684;70682.3885917
G15;2022-4-1 02:39:30;2198655.78798;-26288923.1999;164477.51694
G15;2022-4-1 02:40:00;2210653.786;-26285729.981;258269.43
G15;2022-4-1 02:40:30;2222633.86969;-26282201.2941;352056.293852
G15;2022-4-1 02:41:00;2234597.32322;-26278337.0326;445836.274081
G15;2022-4-1 02:41:30;2246545.43138;-26274137.1006;539607.535818
G15;2022-4-1 02:42:00;2258479.47951;-26269601.413;633368.243776
G15;2022-4-1 02:42:30;2270400.75354;-26264729.8955;727116.562281
G15;2022-4-1 02:43:00;2282310.5396;-26259522.4847;820850.655335
G15;2022-4-1 02:43:30;2294210.12442;-26253979.1278;914568.686622
G15;2022-4-1 02:44:00;2306100.79494;-26248099.7831;1008268.81956
G15;2022-4-1 02:44:30;2317983.83835;-26241884.4195;1101949.21735
G15;2022-4-1 02:45:00;2329860.542;-26235333.017;1195608.043
G15;2022-4-1 02:45:30;2341732.19335;-26228445.5662;1289243.45936
G15;2022-4-1 02:46:00;2353600.07989;-26221222.0687;1382853.62917
G15;2022-4-1 02:46:30;2365465.48909;-26213662.5368;1476436.71512
G15;2022-4-1 02:47:00;2377329.70832;-26205766.9939;1569990.87982
G15;2022-4-1 02:47:30;2389194.02468;-26197535.474;1663514.28591
G15;2022-4-1 02:48:00;2401059.72535;-26188968.0222;1757005.0961
G15;2022-4-1 02:48:30;2412928.09692;-26180064.6943;1850461.47314
G15;2022-4-1 02:49:00;2424800.4257;-26170825.5571;1943881.57991
G15;2022-4-1 02:49:30;2436677.99759;-26161250.6882;2037263.57945
G15;2022-4-1 02:50:00;2448562.098;-26151340.176;2130605.635
G15;2022-4-1 02:50:30;2460454.01176;-26141094.1199;2223905.91003
G15;2022-4-1 02:51:00;2472355.02308;-26130512.6302;2317162.56828
G15;2022-4-1 02:51:30;2484266.41549;-26119595.828;2410373.77383
G15;2022-4-1 02:52:00;2496189.47175;-26108343.8451;2503537.69108
G15;2022-4-1 02:52:30;2508125.47391;-26096756.8246;2596652.48487
G15;2022-4-1 02:53:00;2520075.70281;-26084834.9202;2689716.32039
G15;2022-4-1 02:53:30;2532041.43864;-26072578.2964;2782727.36336
G15;2022-4-1 02:54:00;2544023.96048;-26059987.1287;2875683.78001
G15;2022-4-1 02:54:30;2556024.54633;-26047061.6035;2968583.7371
G15;2022-4-1 02:55:00;2568044.473;-26033801.918;3061425.402
G15;2022-4-1 02:55:30;2580085.01612;-26020208.2802;3154206.94268
G15;2022-4-1 02:56:00;2592147.45001;-26006280.9091;3246926.52779
G15;2022-4-1 02:56:30;2604233.04764;-25992020.0343;3339582.32669
G15;2022-4-1 02:57:00;2616343.08057;-25977425.8966;3432172.50947
G15;2022-4-1 02:57:30;2628478.81877;-25962498.7474;3524695.24698
G15;2022-4-1 02:58:00;2640641.53097;-25947238.849;3617148.71101
G15;2022-4-1 02:58:30;2652832.48395;-25931646.4743;3709531.07408
G15;2022-4-1 02:59:00;2665052.94295;-25915721.9075;3801840.50966
G15;2022-4-1 02:59:30;2677304.17141;-25899465.4432;3894075.19217
G15;2022-4-1 03:00:00;2689587.431;-25882877.387;3986233.297
